model|source|pk|prompt
gpt-4-turbo|social_iqa|01HMZ2BMHHBVJ4Z0SAZFEG8RN6|Jordan invited Jan over for dinner at his place on saturday night.
gpt-4-turbo|social_iqa|01HMZ2BMJ7RBVJWYD6X5Q0SF1B|Casey came home late after going out with her friends.
gpt-4-turbo|social_iqa|01HMZ2BMK3PDA7VHYCK0T1CQGP|Taylor drank soda that was not the right thing compared to what they ordered.
gpt-4-turbo|social_iqa|01HMZ2BMKRV4QPPTJ14A0JXV0D|Jan and Lee went out and saw a movie with their friends.
gpt-4-turbo|social_iqa|01HMZ2BMME77KPHHRXSXQGBTMQ|Riley used Remy's words to explain in more detail how they were feeling.
gpt-4-turbo|social_iqa|01HMZ2BMN5HPJ4VRVJ5XXXJQ0Z|Robin wouldn't stop kicking after her attacker choked her.
gpt-4-turbo|social_iqa|01HMZ2BMNVKR8W8JMWXH6JAYZ7|Alex kept Casey occupied then put them to sleep until their parents got home.
gpt-4-turbo|social_iqa|01HMZ2BMPJC1EV1H88YSZVX8HQ|Bailey wanted to quit school after he engaged in drugs and substance abuse leading to addiction.
gpt-4-turbo|social_iqa|01HMZ2BMQ83D6ACHC9VGBSGNKJ|jordan wanted to be nice so he gave jan a new phone.
gpt-4-turbo|social_iqa|01HMZ2BMQZ9DY6DGSGW2G6JTE8|Jan drove Skylar back home after they had a wonderful date at the restaurant.
gpt-4-turbo|social_iqa|01HMZ2BMRJMC23KDJYB8R73HN7|Jordan would not let Kendall use the Super Nintendo he just bought.
gpt-4-turbo|social_iqa|01HMZ2BMS80GXD89DDB3ADQP74|Jan paid Robin's fine in full because it was actually Jan's fault.
gpt-4-turbo|social_iqa|01HMZ2BMSN507NY391B0YRSWK5|Austin called Casey's dad to come and get Casey from school.
gpt-4-turbo|social_iqa|01HMZ2BMTCD15SB6GCJP4H0664|Jordan whipped Tracy's head around and tipped his chin up. He began doing chest compressions and mouth to mouth.
gpt-4-turbo|social_iqa|01HMZ2BMV3TS3WNMY59QVDXJRA|Even though Sasha had stolen his most precious possessions, Jesse gave Sasha a chance for redemption.
gpt-4-turbo|social_iqa|01HMZ2BMVTTNW512WB6VS17VTJ|Alex passed another stop sign and decided that he was lost.
gpt-4-turbo|social_iqa|01HMZ2BMWNHDEN35R9QQ81E2TB|Jesse shifted gears nervously as he drove with the instructor around the block.
gpt-4-turbo|social_iqa|01HMZ2BMXBCM5001DQETYCJFYG|Sydney took Ash back to their house after Ash fell off their horse and broke their leg.
gpt-4-turbo|social_iqa|01HMZ2BMY1DKY4R2ZVB4WXAQD1|Alex loved Skylar but Skylar wanted to get a divorce.
gpt-4-turbo|social_iqa|01HMZ2BMYQ3MX66Z7GDR5T2VZM|Ash asked Taylor to call her mother and tell her the bad thing she did.
gpt-4-turbo|social_iqa|01HMZ2BMZDQXJD2X3YWWC8K13R|After putting out a number of gift requests, Carson got her wish.
gpt-4-turbo|social_iqa|01HMZ2BN04KDXA86CVVWC0XFK6|Taylor liked a person so they asked them to a dance.
gpt-4-turbo|social_iqa|01HMZ2BN0NNCZ8QDMNFV1X5VF6|Bailey yelled at Jan for annoying them. Jan gave Bailey space. Bailey felt bad.
gpt-4-turbo|social_chem|01HMZ2BN1CZQGTXTHZVMADZ1G1|Woman Fears for Sister Living With Unstable Dad
gpt-4-turbo|social_chem|01HMZ2BN240KEXHX5NK4RW6AER|I don't like that we have so many pets and I wish we could get rid of some
gpt-4-turbo|social_chem|01HMZ2BN2S2GN52DWBJ3D9195Q|not holding back in a grappling match and breaking my cocky opponents shoulder
gpt-4-turbo|social_chem|01HMZ2BN3GZMHQMJEDCARYR511|I only owe $2,969 on my vehicle
gpt-4-turbo|social_chem|01HMZ2BN46DSBQZKMXQ91CJXMC|My family was crying as I drove away with our sick cat.
gpt-4-turbo|social_chem|01HMZ2BN4WS0MRXTV67DB1Y7PJ|One time my friend convinced me to install a auto clicker for minecraft and I cried after realizing it was cheating because I got banned from a server
gpt-4-turbo|social_chem|01HMZ2BN5MFN0X4M3G9Z6KTKD8|He was upset when someone took his prosthetic leg.
gpt-4-turbo|social_chem|01HMZ2BN6APAHQ4R4MX2ZXTX4R|I was slutty in college. I’m ashamed. How do I get over this?
gpt-4-turbo|social_chem|01HMZ2BN71350E390KW560ZSEK|I seem like a disaster to people around me and I can not figure out why I am this way.
gpt-4-turbo|social_chem|01HMZ2BN7QGT27M72SJFAG475A|Martha then took her to court to get a restraining order.
gpt-4-turbo|social_chem|01HMZ2BN8D2GV68P6HT2KKFWRC|John decided to go out to the bar for a few drinks with his friends.
gpt-4-turbo|social_chem|01HMZ2BN94EW582DB1MPW9QPZZ|Just can't seem to get ahead in my financial life. Is it hopeless?
gpt-4-turbo|social_chem|01HMZ2BN9P332PS8BW38H6PT3D|not texting my girlfriend after she told me not to say anything
gpt-4-turbo|social_chem|01HMZ2BNAC7APTKF62S8ZWDXS0|standing up in my class and going to the bathroom
gpt-4-turbo|social_chem|01HMZ2BNB2XKVK6H6Q6QCDMKRF|Mere Mention of Marriage Causes Man to Run and Hide
gpt-4-turbo|social_chem|01HMZ2BNBSE1FBG01PKKSQK8K1|I got called in on my second day off and ignored it.
gpt-4-turbo|social_chem|01HMZ2BNCFXBTB6VE6TPFJ2J55|I was completely shocked when I felt someone slap my ass.
gpt-4-turbo|social_chem|01HMZ2BND6FYKBMQN8J6DVQTP9|Grandmother Must Support Anti-Lying Efforts
gpt-4-turbo|social_chem|01HMZ2BNDX9E8R33TZ9BD0YKKA|Honor Our Freedom's Authors as You Celebrate the Fourth
gpt-4-turbo|social_chem|01HMZ2BNEMCX8VZQHT35J2Q390|Costume Jewelry Falls Short of Wife's Expectations
gpt-4-turbo|nan|01HMZ2BNF52W74XWF00Y1A8CRW|almost getting my friend fired
gpt-4-turbo|social_chem|01HMZ2BNFWRTR0DWV71KGJVGVT|I Want to Get Back Into My Toxic Relationship
gpt-4-turbo|social_chem|01HMZ2BNGHM28A1J55NPBGGVMS|I genuinely believe I had a past life!
gpt-4-turbo|social_chem|01HMZ2BNH89QYQMBTN79MNDCHX|The first thing he did was set his morning alarm.
gpt-4-turbo|social_chem|01HMZ2BNHZC862J399QF33XZ1G|I cheat on my almost 2 year relationship.
gpt-4-turbo|social_chem|01HMZ2BNJP4QN94X2HKN7NKVWS|I think public transportation is soooo gross...
gpt-4-turbo|social_chem|01HMZ2BNKDH1WY5JWXRDTMQT6S|So he worked extra hard and did school even during his summers.
gpt-4-turbo|social_chem|01HMZ2BNM3J9BJE8RCMA3BJVHK|telling my overweight coworker to go on a diet
gpt-4-turbo|social_chem|01HMZ2BNMS3KHQYSWQ3F2G82K0|dropping out of my plans to live with current flatmates next year before anything is properly organised
gpt-4-turbo|social_chem|01HMZ2BNNG00FF6W4TTPR58JF5|When he woke up, he searched for his drink.
gpt-4-turbo|social_chem|01HMZ2BNP6Y41Y84KTT4EX5MTR|potentially letting my boss' work get lost
gpt-4-turbo|social_chem|01HMZ2BNPX2T7Z9S1Q9SX9XDJG|not staying in my school
gpt-4-turbo|social_chem|01HMZ2BNQKHK7H59XZX4DT2C6W|She decided to send her son to his room.
gpt-4-turbo|social_chem|01HMZ2BNR8WDANTQPZ9SB3BE3A|I act like I despise marriage, but I secretly want it more than anything.
gpt-4-turbo|social_chem|01HMZ2BNRZQ6XM9E01D1CPM841|accidentally ignoring guy at gym
gpt-4-turbo|social_chem|01HMZ2BNSPJJP07YDPVCB6YPQX|This is a lot to get off my chest, but here it goes...
gpt-4-turbo|social_chem|01HMZ2BNT82EFW5R8FH0QPXJ74|I think I hate my only friend
gpt-4-turbo|social_chem|01HMZ2BNTY2MNTYYKK08N56WK1|They hadn't gotten along while living but Kara was sad she was gone.
gpt-4-turbo|social_chem|01HMZ2BNVN9NH7MF1YS1Q447V2|I got my ex into drinking and now he's an alcoholic
gpt-4-turbo|social_chem|01HMZ2BNWBEY6J0N3SS5728MS4|It was Olivia's first week of school.
gpt-4-turbo|normbank|01HN44KRR4Z06J5NMR8CGMETNX|stop the movie
gpt-4-turbo|normbank|01HN44KRRF919C9ZQNRMYCMP08|lead the discussion
gpt-4-turbo|normbank|01HN44KRRN07FGVBRH4CJBMP8M|buy something made with artificial flavors or colors
gpt-4-turbo|normbank|01HN44KRRWQYW49WWSAV0JQ7MM|ordering food without first looking at the menu
gpt-4-turbo|social_iqa|01HN44KRS20S8CQ6H6GANHWBDE|Robin reached an agreement with Jordan about the use of the car.
gpt-4-turbo|social_iqa|01HN44KRS8YSM0W9YKD5QHR5WD|Addison was the head of the committee for prom. She explained in detail the plan for the prom to everyone.
gpt-4-turbo|social_iqa|01HN44KRSF662AV7HXE6DK32ZM|Sasha thanked their mom for the party and got a big hug.
gpt-4-turbo|social_iqa|01HN44KRSKGBXEWVXNR7XFKA70|Cameron paid Taylor a visit. They hadn't seen each other in a long time.
gpt-4-turbo|nan|01HN44KRSRA2PRRZT02451W093|refusing to give preferential treatment to a famous rap group at our after hours diner? Boss is furious with me
gpt-4-turbo|social_chem|01HN44KRSWVYQKM5NV2JERH8EC|reacting the way I did to my Dad the way I did after he was shouting at me
gpt-4-turbo|social_chem|01HN44KRT2HPGD6FMDYX5XGGRV|I'm embarrassed to go to restaurants with my fiancé
gpt-4-turbo|social_chem|01HN44KRT7B9MER4SGKM4V0C9F|Freeloading Baby Daddy Refuses to Hit the Road
gpt-4-turbo|normbank|01HPAYN10NNGY6RXA3V2HMTFWJ|bring your own drink
gpt-4-turbo|normbank|01HPAYN17WZYTJRWNH83HW2V6V|put a camera back in the wrong place
gpt-4-turbo|normbank|01HPAYN1FSDVH9Y1Z46VM6D3C4|set fire to the curtains
gpt-4-turbo|normbank|01HPAYN1SNJGQN12DTC74NKWVJ|sail at night
gpt-4-turbo|normbank|01HPAYN26668SX7F7JWA779MR7|enjoy the view
gpt-4-turbo|normbank|01HPAYN2FS48J1FJ6TAC7CDRV6|make a funny face
gpt-4-turbo|normbank|01HPAYN2Q8E5V951A07AMPPDM4|ignore your friends
gpt-4-turbo|normbank|01HPAYN2ZQJAGNBQWZRQCGA1YJ|interrupt another's performance
gpt-4-turbo|normbank|01HPAYN37035M8J92BJN4NZKY1|play in a band
gpt-4-turbo|normbank|01HPAYN3E2GJY48BX3BC9Q54RG|make funny faces
gpt-4-turbo|normbank|01HPAYN3Q0TEPRS9NH2Y5XAA83|ski off of a cliff
gpt-4-turbo|normbank|01HPAYN403NAEAZEH5R5TB5PMR|argue with a referee
gpt-4-turbo|normbank|01HPAYN473XNEGX8TFX80V66Q7|leave trash or food behind
gpt-4-turbo|normbank|01HPAYN4E11NGNP5943ERKJ62H|forget your goggles
gpt-4-turbo|normbank|01HPAYN4MZK7RPQ0E9GX0ZSJF5|catch and eat a wild animal
gpt-4-turbo|normbank|01HPAYN4W32AE3WH54HA3FSBBK|talk on a loudspeaker
gpt-4-turbo|normbank|01HPAYN53QNXFHK8E631J3CQ5T|wave a flag or banner
gpt-4-turbo|normbank|01HPAYN5AM9M5XVHTHG394EAMC|dance the charleston
gpt-4-turbo|normbank|01HPAYN5HHCV6564VFNQZ4KJAH|skip a hole
gpt-4-turbo|normbank|01HPAYN5RPTY12Y9WQDQJNXV8A|discuss controversial topics
gpt-4-turbo|normbank|01HPAYN5ZS6HPNTTP2749PMEBD|have hierarchical structure
gpt-4-turbo|normbank|01HPAYN69C08C0GMPM47D1Z0A5|wear clothing made of wool
gpt-4-turbo|normbank|01HPAYN6GJPTPNYJMH2V8NSMVZ|bring alcohol
gpt-4-turbo|normbank|01HPAYN6QD8J0FX4GVSPN9VZ5T|receiving a massage without first showering
gpt-4-turbo|normbank|01HPAYN6ZSNNK19Y2A2T5QR89G|ask someone for a cigarette
gpt-4-turbo|normbank|01HPAYN7703EKK7XVH500V9SY2|block the doors from closing
gpt-4-turbo|normbank|01HPAYN7F2TQKF32RN3RJWSBCC|work out
gpt-4-turbo|normbank|01HPAYN7P3P4Y6RNGM0FZ2T7RX|whistling
gpt-4-turbo|normbank|01HPAYN7X6ZGVRE54D8KBDYM9Y|do physical training
gpt-4-turbo|normbank|01HPAYN842ZE40MRJ1QME3H0NZ|plant a tree
gpt-4-turbo|normbank|01HPAYN8B24EDA6A29SJS6VY31|attempt to communicate with the spirits through a medium
gpt-4-turbo|social_iqa|01HPAYN8HYNRZ75MHQR8PDX65T|Austin decided to get a haircut but didn't have the money so he tries to convince the stylist.
gpt-4-turbo|social_iqa|01HPAYN8S1MEMX1F3T2E2XHWYN|Riley heard Jesse laugh real loud at lunch. Riley looked in Jesse's direction.
gpt-4-turbo|social_iqa|01HPAYN90DM9EQ6XA1RJMPBBHF|Alex kissed Cameron tenderly in the moonlight that night.
gpt-4-turbo|social_iqa|01HPAYN97E14EFRDRQCWP5J01S|Kendall took piano lessons and was really doing well.
gpt-4-turbo|social_iqa|01HPAYN9EA27Y6C09FXTER1S57|Addison ignored the advice of others and became an artist as they always had dreamed.
gpt-4-turbo|social_iqa|01HPAYN9P3M0VTK9Z50G17PBF7|Jan visited her relatives at the national park picnic area.
gpt-4-turbo|social_iqa|01HPAYN9XDE9RE0F73XJ8EVE3A|Taylor had borrowed Alex's bike to go to the store. Taylor left Alex's bike behind when they went inside.
gpt-4-turbo|social_iqa|01HPAYNA5MJFWTXMVDMW2ATEZ3|Addison woke up and realized that there was no power in the house. Addison called the electric company.
gpt-4-turbo|social_iqa|01HPAYNADAH9TQ1CZWEBMVK7F1|Jan got a new watch after they broke their old one.
gpt-4-turbo|social_iqa|01HPAYNAM82W3DQ8DC7N8FXC8H|Remy asked Robin's husband if their husband could go to the game.
gpt-4-turbo|social_iqa|01HPAYNAV26SQXENMPF4YN071J|Sydney expected a child any moment now, and it happened just as she arrived at the hospital.
gpt-4-turbo|social_iqa|01HPAYNB1XYZB46C4ARHQ5ZT8Q|Cameron was cleaning their house, but got bored and fell asleep before they were through.
gpt-4-turbo|social_iqa|01HPAYNB8Z8HKEMKNXHG9ATT5K|Kai has a birthday coming up but does not want gifts.
gpt-4-turbo|social_iqa|01HPAYNBG7B07BA9SFPTHQ207W|Skylar felt sleepy from all the hard work she was doing earlier.
gpt-4-turbo|social_iqa|01HPAYNBQ3G6GKXSG8GR6QWBF9|Cameron hit a snag when they were working on a big work project.
gpt-4-turbo|social_iqa|01HPAYNBYCWJK1KHSAPXPNRMY6|Jordan hated their parents. Jordan worked hard to be a good parent and Jordan produced a loving family.
gpt-4-turbo|social_iqa|01HPAYNCWKJ5Q054754M5ZJMT0|Cameron broke my leg on purpose by hitting me hard with a hammer.
gpt-4-turbo|social_iqa|01HPAYNDWKKMNAWCEDZ9PKVG1N|After years of therapy and playing sports, Cameron finally made a lot of new friends.
gpt-4-turbo|social_iqa|01HPAYNE3NXN2MH7RSC1KRFB47|Bailey accused their neighbour of stealing their milk and was quick to point the finger at one particular neighbour who was new in the street.
gpt-4-turbo|social_iqa|01HPAYNEAJS8X6M5TZ5NJ9WFEZ|Skylar got good at sport that year by practicing all the time.
gpt-4-turbo|social_iqa|01HPAYNEHF4TKX3WEMBD9FWA0Y|Casey got another girlfriend as soon as they broke up with previous girlfriend.
gpt-4-turbo|social_iqa|01HPAYNFE98A0H6P1H4XFMYJRM|Jackson was applying to nursing school and asked Lee for a recommendation letter.
gpt-4-turbo|social_iqa|01HPAYNFNGW1GVGF64ZR9827PT|Lee was Carson's legal guardian and when Lee noticed Carson was struggling with maths, Lee hired a tutor to help Carson.
gpt-4-turbo|social_iqa|01HPAYNFX1P4TRFZPPQEZCDFNX|During a test, Skylar caught Quinn peeking at his homework book which had corrections because the questions were the same.
gpt-4-turbo|social_iqa|01HPAYNG3W06S7J3N86S9KPA96|Lee told Quinn that they needed to rush to make the movie.
gpt-4-turbo|social_iqa|01HPAYNGB3KY7W6NQFV38398AD|Cameron was out with friends for a while before Sydney's mother found Sydney unresponsive. Cameron regrets not being with Sydney. Sydney's mother wasn't happy either.
gpt-4-turbo|social_iqa|01HPAYNGJBJWYP56FG77S6PS9R|Kendall is being paid to train Alex's dog.
gpt-4-turbo|social_iqa|01HPAYNGSTXZGAEAPRPW02PMJ3|Taylor tooted her own horn about planning to win the race by a landslide.
gpt-4-turbo|social_iqa|01HPAYNH3QYA5FZ9234TSGKT3M|Kai got Addison's friends together for the surprise party that they had been planning for weeks in advance.
gpt-4-turbo|social_iqa|01HPAYNHAZZNNE6CBEQ4NFJYP7|Carson has always had a goal of meeting a famous person. Today he came across one at his local shopping mall.
gpt-4-turbo|social_iqa|01HPAYNHJ36ANPRPP04VDD381S|Riley thanked her for Bailey's letter when they gave the letter to them.
gpt-4-turbo|social_iqa|01HPAYNHX7JRWMQ3CDGYN10V2J|Every day Tracy gets home from work and orders a pizza for her family.
gpt-4-turbo|social_iqa|01HPAYNJ4998DTZY83XXZQHS86|Because Sasha repeated herself numerous times, Riley understood Sasha's complaints well in the end.
gpt-4-turbo|social_chem|01HPAYNJBATNEXBAN70DRW7Q5F|I’ve started smoking due to the stress of having 7 weeks to finish my thesis and simultaneously being in a long distance relationship.
gpt-4-turbo|social_chem|01HPAYNJJEKNNDGEPYK6CXME3D|I knew my dad was going to throw me a surprise birthday party
gpt-4-turbo|social_chem|01HPAYNJWJ6PQ894TJQ4N4E2RV|A Girl I Dated Is Suffering From B.P.D. And There's Nothing I Can Do To Help Her
gpt-4-turbo|social_chem|01HPAYNK4KGF2J6X6PFRYBAQY8|Will decided he wanted to man up and tell her his feelings.
gpt-4-turbo|social_chem|01HPAYNKBS7X873V3753RHKYS4|I was the hero of the picnic when I came back with a bag of ice.
gpt-4-turbo|social_chem|01HPAYNKP3SSF891F37MN06QAF|telling everyone my classmate peed her pants
gpt-4-turbo|nan|01HPAYNKXK7PMEC850A1Y880TB|giving my friend my brutally honest opinion on him hanging out with highschoolers
gpt-4-turbo|social_chem|01HPAYNM4S3FYSRK5JA4VJG6BK|telling my brothers GF she cant have the kids stay the day
gpt-4-turbo|social_chem|01HPAYNMBV4DJ7BQGZVWJ5E86Y|I punched some middle-aged man and his wife in the face - in revenge for their plotting
gpt-4-turbo|social_chem|01HPAYNMP6BYQV2GG7GQAHH1FX|Her mom said she had to choose between the toy or ice cream.
gpt-4-turbo|social_chem|01HPAYNMX8V60V7PY4JE09B8RH|asking this girl out
gpt-4-turbo|social_chem|01HPAYNN4F450YBMVFQH954Y4K|telling my GF I will leave her if she gets pregnant
gpt-4-turbo|social_chem|01HPAYNNBB6190Q71VBAMSDEFG|I have cheated in every single relationship I've ever had.
gpt-4-turbo|social_chem|01HPAYNNKF96SHDNB8DE8HZNJB|telling my mother she is weird
gpt-4-turbo|social_chem|01HPAYNNXBNFXJPR8Y8VHSBAXX|I have never danced before
gpt-4-turbo|social_chem|01HPAYNP48D42KYDCQPTG4M7AA|So he spent all day cleaning his room.
gpt-4-turbo|social_chem|01HPAYNPB4A952FW9FD0WMEQXY|Working at the school I used to be a student
gpt-4-turbo|social_chem|01HPAYNPKAKPRF76C1CSY96FY0|I have a pretty good life, but I'd rather be alone sometimes.
gpt-4-turbo|social_chem|01HPAYNPZQP8PCZCJMTFPVN9BK|My friend is cheating on her boyfriend.
gpt-4-turbo|social_chem|01HPAYNQ6SWHKX8YSERS2CPEYA|Rich People Are Target of Husband's Increasing Anger
gpt-4-turbo|social_chem|01HPAYNQDTSG96RECPR9VPP8E4|not telling my friend I was getting a promotion
gpt-4-turbo|social_chem|01HPAYNQMXZFJ0832CKHC908GZ|Dad Claims to Call the Shots in Daughter's Choice of Men
gpt-4-turbo|social_chem|01HPAYNQVY2A0CSCSQK791ZB9S|Free at Last of Cancer's Grip, Man Frees His Wife as Well
gpt-4-turbo|social_chem|01HPAYNR30MWEECJQGCECRTK5G|She told her boyfriend of four months, Carter.
gpt-4-turbo|social_chem|01HPAYNRA49WB3HAZKW9RGYTDE|I might be a gigalo.
gpt-4-turbo|social_chem|01HPAYNRH1P57574KMBHEZCKKQ|I want to go home...
gpt-4-turbo|social_chem|01HPAYNRQYZ3CJNENQTY4WRW97|I’m in recovery from several mental illnesses and I want to throw it away.
gpt-4-turbo|social_chem|01HPAYNRZ270SAKR5YS39CP060|Father And Son Team Up To Mock Their Wife And Mother
gpt-4-turbo|nan|01HPAYNS6622FG7TFDMNNX3BS4|being annoyed with my friends liberal use of the words trauma and abuse
gpt-4-turbo|social_chem|01HPAYNSDAKRJ7RQ175QCHYAGD|saying I hate my friend
gpt-4-turbo|social_chem|01HPAYNSN4RXGNMYYQSJ0K5DPV|telling him to go back to his own country
gpt-4-turbo|normbank|01HPB3461MD7RQDPBBQECK0V0B|take a photo
gpt-4-turbo|normbank|01HPB3469XEZF296T62XGWG8KG|salute the flag
gpt-4-turbo|normbank|01HPB346GQY6EAW4VFMHRZMWMA|avoid moving your head or neck too much
gpt-4-turbo|normbank|01HPB346QVMY6KAXXGFMZ289GR|serve alcohol
gpt-4-turbo|normbank|01HPB346YX0SDDC39EQCYDP9CQ|read anarchist literature
gpt-4-turbo|normbank|01HPB3476EQJ14Q99YZJFD6BFE|wear a dress
gpt-4-turbo|normbank|01HPB347DHKTRE0V16ZC944GC2|texting on your phone
gpt-4-turbo|normbank|01HPB347MGA5FRHCKW3E2NWA7D|lick your food in a sexual way
gpt-4-turbo|normbank|01HPB347WZY5Q490WVQKH3WRPN|have a curfew
gpt-4-turbo|normbank|01HPB34840ZEWJFP2PG6RP6PES|ask someone for a pain medication
gpt-4-turbo|normbank|01HPB348BAGCVX3JJBZ3N33B4M|clean the tables
gpt-4-turbo|normbank|01HPB348JGA70QSAMD59DPAPX3|hire security guards
gpt-4-turbo|normbank|01HPB348T9Q1MYP5KT1QJ3T74T|act crazy
gpt-4-turbo|normbank|01HPB34919XDNM95DPRDF237FR|carry an umbrella
gpt-4-turbo|normbank|01HPB3498RT3MC0JQNXDQFQ5A4|go fishing
gpt-4-turbo|normbank|01HPB349G5CP44NT939N9PGPDJ|take a picture with a wild animal
gpt-4-turbo|normbank|01HPB349Q662VQN7GFYAE1MS0K|buy candy
gpt-4-turbo|normbank|01HPB349YGZDS0F6785CRM6NXT|give marketing advice
gpt-4-turbo|normbank|01HPB34A5QNGHHE2C5METS4CRA|use disposable gloves
gpt-4-turbo|normbank|01HPB34AD8NPZJWCPXT0W0F867|listen to loud music
gpt-4-turbo|normbank|01HPB34AM3VPDA14301A9QV7KF|play a game on your phone
gpt-4-turbo|normbank|01HPB34AWYEW3EQA3BCZ6V86VD|make obscene gestures
gpt-4-turbo|normbank|01HPB34B3SG56NZZ7SNW15WKRH|eat snacks
gpt-4-turbo|normbank|01HPB34BAM5MWAKS4P7SKE5036|buy shellfish
gpt-4-turbo|normbank|01HPB34BHQNDF2T0T62D35Q18M|ask for a pregnancy test
gpt-4-turbo|normbank|01HPB34BRX2F6FTRCDDSJ1BNGC|licking surfaces
gpt-4-turbo|normbank|01HPB34C3KP067MFM02CVC1W0J|order two meals
gpt-4-turbo|normbank|01HPB34CANWTP8HGJ4175Q0YW0|sing religious songs
gpt-4-turbo|normbank|01HPB34CKEYBSZ91YSR4YG0W86|thank god for your success
gpt-4-turbo|normbank|01HPB34CTA3MG6EFFFB5B26KW1|spray insecticide inside
gpt-4-turbo|normbank|01HPB34D1BYPZDRVJMZWN58YFM|have a dj playing music
gpt-4-turbo|normbank|01HPB34D8HD7X0Y8G5DMG51H68|hang out for long periods of time without buying something
gpt-4-turbo|normbank|01HPB34DG3V2WN4APQJRXGK93M|climb up to the balcony
gpt-4-turbo|normbank|01HPB34DPYRA21Y93B8ZAS8XE5|hire and train new employees
gpt-4-turbo|normbank|01HPB34DY03G2YHHHB9WPFEPEN|wear a towel around your waist
gpt-4-turbo|normbank|01HPB34E4YK45B0M6K4HNYJ9P0|hike
gpt-4-turbo|normbank|01HPB34EC37PNCVCPD196D32A0|take off your clothes
gpt-4-turbo|normbank|01HPB34EKRT9WPBZPRCSSQNVYN|stand at attention
gpt-4-turbo|normbank|01HPB34F06CECS5AMNQN32QRTH|fix a leaky faucet
gpt-4-turbo|normbank|01HPB34F75687PFQ5CJAR7H6FX|perform acrobatic feats
gpt-4-turbo|social_iqa|01HPB34FE7KHQDR6WAKJEF1NFD|Skylar put their self to bed because they were hoping to get to Christmas morning faster.
gpt-4-turbo|social_iqa|01HPB34FNA3HAVNY1P05GCS3C9|Addison was upset over the dinner bill coming out incorrect, so Jesse avoided Addison and contacted the waiter to come over.
gpt-4-turbo|social_iqa|01HPB34FWZDATJJKPDGRF1KPG9|Jesse called Carson's friend to find out if they might like to go to the zoo with them.
gpt-4-turbo|social_iqa|01HPB34G9SXXRG0KH5F7A55RAW|Tracy protected Austin's ice cream from the sun but she dropped the cone on the floor.
gpt-4-turbo|social_iqa|01HPB34GKBHV742WH29JYXT2CN|Austin was waiting for Cameron at the hospital and he felt like an eternity.
gpt-4-turbo|social_iqa|01HPB34GX2ZWQW1WY5GV12NY8Z|Riley had anger issues and promised the others he would get help.
gpt-4-turbo|social_iqa|01HPB34H40A5XJTXTJ3F2BMBAB|Kendall prevented Sydney's attempt at goal and that led to Kendall winning the game.
gpt-4-turbo|social_iqa|01HPB34HB056MJZJY9VPH79PAJ|Alex looked in Robin's direction when she let out a big belch.
gpt-4-turbo|social_iqa|01HPB34HJ48RS9RVZT7T6RC33W|Ash suggested Bailey play basketball and helped them practice for the team.
gpt-4-turbo|social_iqa|01HPB34HSDVC3FF6GZ2BQR5TB9|Lee went into the house and made sure to take his shoes off.
gpt-4-turbo|social_iqa|01HPB34J0E62BYGEWM54ZT02MK|After years of building up her empire, Sasha successfully handed it over to her son.
gpt-4-turbo|social_iqa|01HPB34J79PGCYM27V0C8BMPVT|Lee felt cramped on Jan's line and had to call later that day.
gpt-4-turbo|social_iqa|01HPB34JEJPDRAS1G6PV2K7M74|After throwing food to the dogs, Kendall went to wash her hands and fry a fish.
gpt-4-turbo|social_iqa|01HPB34JNZ1S9FND8RXPKWG890|Ash sounded like a Lee before he changed his gender to become a woman.
gpt-4-turbo|social_iqa|01HPB34JWY1X7Y94N5MN0PVNEJ|Austin describes the weather on TV. People watch the news and see his forecast.
gpt-4-turbo|social_iqa|01HPB34K41AZAKJX1Z6YVMCC5H|Kendall was not a nice person. Kendall took their friend's allowance every day.
gpt-4-turbo|social_iqa|01HPB34KB6644B86PPA3CTJBTR|Kendall pulled the project together and helped his classmates get the best grade.
gpt-4-turbo|social_iqa|01HPB34KJ28TGE7GDFPAZ0WNKS|Cameron's brother's birthday is today, and they have been fighting a lot lately, so Cameron hadn't made anything to give them.
gpt-4-turbo|social_iqa|01HPB34KS3R10BPR4WG3STYNZD|Carson started coughing a little bit and went to the doctor to get better.
gpt-4-turbo|social_iqa|01HPB34M0NZ13PG46CG5JRPZZN|Carson led Jan's life from the moment they were born until the moment they died.
gpt-4-turbo|social_iqa|01HPB34M7NQ0390K530P82B9CP|Jordan secretly laid eyes on Ash, his secret crush.
gpt-4-turbo|social_iqa|01HPB34MEJEQCNEKJQ48FFVXHZ|Taylor decorated their Christmas tree real fast and sloppy so he could go play football with his friends.
gpt-4-turbo|social_iqa|01HPB34MNKF57CCRCGM96RCJJ2|Others felt that Addison was doing poor work. Addison improved morale in patients.
gpt-4-turbo|social_iqa|01HPB34MWXV4FE0X74JN05J587|Casey kept their things in order and managed their life well.
gpt-4-turbo|social_iqa|01HPB34N404YA3KP671WWT3CBR|Aubrey instantly fell on the floor after slipping on the banana peel.
gpt-4-turbo|social_iqa|01HPB34NB0K69WGSX0Q63009WJ|Kai was in a jury and did not believe the defendant was guilty at all.
gpt-4-turbo|social_iqa|01HPB34NKB62TXTZHTQCJP2K48|Aubrey educated their children on the dangers of talking to strangers.
gpt-4-turbo|social_iqa|01HPB34NWY7FPVEC4E884TNEKZ|Casey looked over Kai's shoulder at the stables as they walked towards their horses. Casey couldn't wait to see his horse again.
